City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Maple Grove,US,2020-06-21 22:43:44,45.07,-93.46,78.01,60,20,11.41
279,Jequie,BR,2020-06-21 22:43:44,-13.86,-40.08,66.58,87,43,3.51
280,Ferme-Neuve,CA,2020-06-21 22:43:44,46.7,-75.45,80.58,58,30,6.04
281,Yar-Sale,RU,2020-06-21 22:43:44,66.83,70.83,41.88,85,100,13.13
282,Asilah,MA,2020-06-21 22:43:44,35.47,-6.03,75.2,47,0,4.7
283,Elko,US,2020-06-21 22:43:44,41.0,-115.5,86.0,15,1,14.99
284,Coihaique,CL,2020-06-21 22:41:28,-45.58,-72.07,38.88,87,100,2.39
285,Tautira,PF,2020-06-21 22:43:44,-17.73,-149.15,86.0,58,40,3.36
286,Shizunai,JP,2020-06-21 22:40:13,42.33,142.37,61.39,73,9,11.05
287,San Cristobal,VE,2020-06-21 22:39:07,7.77,-72.22,80.6,69,75,11.41
288,Asyut,EG,2020-06-21 22:43:44,27.18,31.18,84.99,17,0,5.06
289,Iqaluit,CA,2020-06-21 22:43:44,63.75,-68.51,42.8,70,75,3.36
290,Quelimane,MZ,2020-06-21 22:43:44,-17.88,36.89,68.0,88,6,2.59
291,Cap Malheureux,MU,2020-06-21 22:43:44,-19.98,57.61,70.0,82,38,8.01
292,Xining,CN,2020-06-21 22:43:44,36.62,101.77,52.47,80,82,1.74
293,Thai Binh,VN,2020-06-21 22:43:44,20.45,106.33,86.0,84,91,9.17
294,Havoysund,NO,2020-06-21 22:43:14,71.0,24.66,44.6,87,20,8.05
295,Margate,GB,2020-06-21 22:43:44,51.38,1.39,61.0,76,24,1.99
296,Sao Felix Do Xingu,BR,2020-06-21 22:43:44,-6.64,-51.99,74.34,72,0,3.31
297,La Rioja,ES,2020-06-21 22:43:44,42.25,-2.5,68.0,60,0,6.93
298,San Francisco,US,2020-06-21 22:42:57,37.77,-122.42,75.99,63,75,27.51
299,Shingu,JP,2020-06-21 22:43:45,33.73,135.98,65.5,91,100,15.48
300,Aksarka,RU,2020-06-21 22:43:06,66.56,67.8,42.78,84,92,2.28
301,Burnie,AU,2020-06-21 22:39:37,-41.07,145.92,48.99,79,89,11.99
302,Bonavista,CA,2020-06-21 22:43:45,48.65,-53.11,53.42,70,97,18.41
